Date :,2/7/20 12:24,,,,,,,,,,,
Motion Threshold (au):,20,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,53,6,16.3,0.85,81.5,15.64,0,347
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,54,1,10.967,0.57,54.83,40.4,0,404
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,55,0,0,0,0,109.38,0,552
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,56,0,0,0,0,79.76,0,508
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,57,1,1.1,0.06,5.5,59.92,0,387
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,58,2,2.833,0.15,14.17,68.53,0,504
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,59,2,4.733,0.25,23.67,75.36,0,817
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,60,0,0,0,0,350.19,0,1428
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,Tone-5,3,15.1,0.79,75.5,16.27,0,525
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,Trace-5,2,17.433,0.91,87.17,4.71,0,182
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,61,2,19.967,1.04,99.83,0.27,0,22
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,62,3,14.6,0.76,73,14.77,0,322
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,63,4,14.767,0.77,73.83,6.29,0,131
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,64,5,17.467,0.91,87.33,2.5,0,58
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,65,2,16.6,0.86,83,7,0,250
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,66,3,12.4,0.65,62,10.33,0,225
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,67,5,15.367,0.8,76.83,7.75,0,244
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,68,6,19.733,1.03,98.67,1.18,0,72
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,69,3,16.8,0.88,84,4.98,0,141
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,70,2,8.9,0.46,44.5,46.77,0,501
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,71,2,4.333,0.23,21.67,60.5,0,543
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,72,5,13.6,0.71,68,11.27,0,254
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,Tone-6,2,19.667,1.02,98.33,0.72,0,59
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,Trace-6,3,15.133,0.79,75.67,8.55,0,214
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,73,4,15.733,0.82,78.67,7.65,0,182
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,74,3,13.6,0.71,68,24.82,0,746
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,75,1,1.967,0.1,9.83,42.81,0,341
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,76,6,10.6,0.55,53,14.65,0,195
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,77,7,17.833,0.93,89.17,2.73,0,72
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,78,4,14.867,0.77,74.33,5.58,0,82
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,79,3,17,0.89,85,3.82,0,169
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,80,7,16.833,0.88,84.17,3.09,0,66
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,81,6,17.833,0.93,89.17,1.83,0,56
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,82,4,18.167,0.95,90.83,2,0,109
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,83,2,5.3,0.28,26.5,44.27,0,305
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber1,257,squad-1,84,3,7.067,0.37,35.33,31.91,0,414
,,,,,,,,,,,,
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,1,2,2.3,0.12,11.5,232.79,0,977
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,2,1,6.3,0.33,31.5,119.84,0,960
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,3,0,0,0,0,361.05,0,1215
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,4,0,0,0,0,295.02,0,1233
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,5,3,5.7,0.3,28.5,49.66,0,512
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,6,1,2.1,0.11,10.5,249.49,0,1381
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,7,2,2.667,0.14,13.33,63.94,0,690
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,8,2,5.433,0.28,27.17,145.26,0,877
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,9,2,3.033,0.16,15.17,233.59,0,1134
